,date,signal
0,2020-10-09,0
1,2021-08-03,1
2,2021-08-12,1
3,2021-08-30,1
4,2022-02-02,1
5,2022-03-20,0
6,2022-03-21,0
7,2022-03-22,6
8,2022-03-23,9
9,2022-03-24,7
10,2022-03-25,3
11,2022-03-26,3
12,2022-03-27,3
13,2022-03-28,6
14,2022-03-29,4
15,2022-03-30,9
16,2022-03-31,4
17,2022-04-01,6
18,2022-04-02,2
19,2022-04-03,3
20,2022-04-04,2
21,2022-04-05,3
22,2022-04-06,2
23,2022-04-07,8
24,2022-04-08,8
25,2022-04-09,2
26,2022-04-10,1
27,2022-04-11,6
28,2022-04-12,11
29,2022-04-13,4
30,2022-04-14,4
31,2022-04-15,0
32,2022-04-16,1
33,2022-04-17,0
34,2022-04-18,5
35,2022-04-19,7
36,2022-04-20,7
37,2022-04-21,2
38,2022-04-22,4
39,2022-04-23,1
40,2022-04-24,2
41,2022-04-25,7
42,2022-04-26,7
43,2022-04-27,2
44,2022-04-28,19
45,2022-04-29,1
46,2022-04-30,1
47,2022-05-01,0
48,2022-05-02,4
49,2022-05-03,6
50,2022-05-04,6
51,2022-05-05,5
52,2022-05-06,3
53,2022-05-07,0
54,2022-05-08,1
55,2022-05-09,3
56,2022-05-10,6
57,2022-05-11,4
58,2022-05-12,12
59,2022-05-13,1
60,2022-05-14,3
61,2022-05-15,0
62,2022-05-16,3
63,2022-05-17,9
64,2022-05-18,4
65,2022-05-19,8
66,2022-05-20,4
67,2022-05-21,2
68,2022-05-22,0
69,2022-05-23,10
70,2022-05-24,5
71,2022-05-25,9
72,2022-05-26,3
73,2022-05-27,5
74,2022-05-28,2
75,2022-05-29,3
76,2022-05-30,0
77,2022-05-31,10
78,2022-06-01,5
79,2022-06-02,5
80,2022-06-03,7
81,2022-06-04,1
82,2022-06-05,2
83,2022-06-06,25
84,2022-06-07,11
85,2022-06-08,7
86,2022-06-09,6
87,2022-06-10,5
88,2022-06-11,0
89,2022-06-12,2
90,2022-06-13,6
91,2022-06-14,7
92,2022-06-15,9
93,2022-06-16,5
94,2022-06-17,6
95,2022-06-19,2
96,2022-06-20,2
97,2022-06-21,6
98,2022-06-22,5
99,2022-06-23,6
100,2022-06-24,7
101,2022-06-25,2
102,2022-06-26,1
103,2022-06-27,5
104,2022-06-28,5
105,2022-06-29,3
106,2022-06-30,9
107,2022-07-01,4
108,2022-07-02,1
109,2022-07-03,1
110,2022-07-05,3
111,2022-07-06,3
112,2022-07-07,2
113,2022-07-08,4
114,2022-07-10,2
115,2022-07-11,3
116,2022-07-12,6
117,2022-07-13,4
118,2022-07-14,8
119,2022-07-15,2
120,2022-07-16,-1
121,2022-07-17,-1
122,2022-07-18,5
123,2022-07-19,6
124,2022-07-20,6
125,2022-07-21,5
126,2022-07-22,4
127,2022-07-23,-1
128,2022-07-24,1
129,2022-07-25,7
130,2022-07-26,3
131,2022-07-27,4
132,2022-07-28,18
133,2022-07-29,12
